employee_id,department,education,age,experience_years,hours_per_week,num_projects,performance_score,distance_from_office_km,remote_days_per_week,random_noise_1,random_noise_2,salary
E00059,Engineering,Bachelor,30.6,0.0,45.4,2,75.6,0.5,0,-0.268,36,70938.0
E00060,Marketing,Bachelor,33.6,7.1,26.4,3,62.2,5.24,1,-1.722,28,68148.0
E00061,Sales,Bachelor,27.6,7.0,43.2,1,66.0,10.04,0,0.819,65,78995.0
E00062,Sales,Master,40.0,11.2,39.1,5,58.6,2.73,3,-1.086,56,97774.0
E00063,HR,Master,40.4,11.8,49.8,7,67.6,,0,1.493,38,106069.0
E00064,Marketing,Master,35.7,7.8,39.0,2,98.3,23.35,2,1.821,93,93430.0
E00065,Sales,Master,34.9,5.0,46.0,4,90.8,4.39,2,-0.248,90,84831.0
E00066,Sales,Master,32.4,8.9,39.6,2,75.3,10.62,0,0.439,19,98714.0
E00067,Engineering,Bachelor,37.9,4.9,42.7,2,69.6,15.08,3,-1.232,64,73416.0
E00068,Engineering,Bachelor,31.1,7.0,46.4,3,82.7,6.87,0,0.624,96,88944.0
E00069,Sales,Bachelor,40.2,10.9,39.2,1,86.9,6.17,3,-0.498,48,93481.0
E00070,Engineering,Bachelor,26.7,4.8,48.0,4,57.6,5.48,2,-1.087,3,75954.0
E00071,Sales,Master,34.4,10.2,36.0,2,68.8,23.1,2,-0.289,13,101164.0
E00072,Finance,Bachelor,41.3,9.7,43.8,5,42.7,3.14,3,-0.466,66,85509.0
E00073,Engineering,Master,29.4,3.2,47.5,6,86.8,11.5,1,-0.325,90,83147.0
E00074,Engineering,Master,40.4,10.9,46.0,4,100.0,6.51,1,0.95,12,115549.0
E00075,Engineering,Bachelor,37.5,9.8,53.5,6,71.2,0.95,0,-0.785,54,103594.0
E00076,Engineering,PhD,34.1,7.4,37.4,3,38.1,9.89,3,1.735,49,94079.0
E00077,Marketing,Master,35.0,4.0,33.7,2,79.1,14.72,1,-1.325,28,78151.0
E00078,Sales,Master,29.9,3.6,36.0,2,56.4,3.79,3,1.615,63,71546.0
E00079,HR,Bachelor,26.5,4.8,46.0,6,60.0,8.06,1,-1.017,87,65215.0
E00080,Marketing,Bachelor,33.8,9.2,45.0,5,79.4,4.64,3,-0.001,23,78042.0
E00081,Sales,Bachelor,31.8,3.2,42.6,1,73.8,0.5,3,-0.49,5,74676.0
E00082,HR,Bachelor,36.9,8.8,35.3,4,62.7,3.84,1,-0.344,35,74798.0
E00083,Engineering,Bachelor,24.3,2.0,46.6,5,60.3,4.38,1,0.801,31,73700.0
E00084,Engineering,PhD,31.0,6.2,34.7,4,71.9,56.36,3,1.5,72,99653.0
E00085,Engineering,Master,32.7,7.4,49.0,1,63.9,8.39,0,1.191,53,91640.0
E00086,Marketing,Bachelor,42.7,16.8,59.1,4,53.4,1.74,0,-0.405,1,110104.0
E00087,Sales,Bachelor,24.4,1.5,44.2,4,65.0,4.68,1,0.184,33,64993.0
E00088,Engineering,Bachelor,38.0,12.9,45.5,4,75.1,1.03,2,-0.782,73,108059.0
E00089,Sales,Bachelor,32.4,7.6,39.0,9,67.3,17.32,0,-0.992,47,83956.0
E00090,Engineering,PhD,38.0,8.6,31.1,2,48.8,17.57,1,-1.146,56,103420.0
E00091,Marketing,Bachelor,36.9,7.5,38.4,2,84.8,12.8,3,-0.438,26,82082.0
E00092,Sales,Bachelor,35.3,8.8,35.4,6,28.9,2.86,0,0.25,31,71014.0
E00093,Sales,Master,32.2,6.4,33.3,3,63.3,0.5,0,-1.912,13,87779.0
E00094,Engineering,Bachelor,40.2,12.8,52.3,4,60.7,3.51,1,-0.046,8,99719.0
E00095,Marketing,Bachelor,29.7,5.2,43.6,3,72.2,18.28,0,1.516,3,79039.0
E00096,Sales,Master,35.1,11.5,44.3,8,78.4,15.89,0,1.122,62,101920.0
E00097,Engineering,Master,28.6,4.4,40.1,4,86.9,1.29,0,-0.585,15,90980.0
E00098,Engineering,PhD,31.9,6.8,41.0,3,59.3,8.27,0,-1.397,57,105251.0
E00099,Finance,Master,26.2,2.7,47.8,4,78.8,4.64,3,0.46,95,77498.0
E00100,Finance,Bachelor,36.3,8.8,41.8,5,72.9,8.45,0,-2.317,69,85969.0
E00101,Marketing,Master,42.0,12.8,45.2,5,44.3,8.76,2,1.11,57,96829.0
E00102,Engineering,PhD,28.9,6.7,40.8,7,98.5,0.78,2,-0.214,11,115506.0
E00103,Finance,Master,33.3,6.2,39.9,5,48.4,3.95,2,1.831,48,77670.0
E00104,HR,PhD,28.9,2.5,33.6,3,76.3,,2,-1.727,89,79575.0
E00105,Marketing,Master,34.1,6.1,30.1,4,75.8,5.96,1,0.918,38,83479.0
E00106,Sales,Master,27.6,0.6,40.4,3,74.1,1.26,3,-0.101,82,71869.0
E00107,Engineering,Bachelor,26.0,3.3,42.3,8,,2.91,0,-0.331,70,72861.0
E00108,Engineering,,31.1,7.9,34.3,2,82.4,3.63,0,-1.37,26,109947.0
E00109,Finance,Bachelor,39.4,12.3,41.8,4,46.6,4.32,3,0.596,14,91149.0
E00110,Sales,Master,48.3,18.2,42.3,7,69.0,12.91,0,0.676,1,121423.0
E00111,Engineering,Master,25.0,4.7,29.1,2,61.5,0.5,0,1.785,27,84422.0
E00112,Engineering,PhD,40.8,12.7,36.5,5,59.8,17.95,0,1.008,33,114149.0
E00113,Sales,PhD,38.5,8.0,44.4,5,76.4,5.84,0,-0.594,65,96444.0
E00114,Engineering,Bachelor,32.9,6.4,44.3,5,86.2,7.63,0,-1.004,57,86351.0
E00115,Finance,Master,37.4,8.7,35.1,3,64.9,1.08,2,-1.368,47,98829.0
E00116,HR,Master,32.1,7.2,43.0,3,81.7,7.28,2,1.473,72,86454.0
E00117,Marketing,Bachelor,34.1,7.4,48.1,2,70.7,4.03,0,-0.778,77,76076.0
E00118,Sales,Bachelor,27.5,5.4,46.7,5,56.6,1.16,3,1.48,71,76458.0
E00119,Marketing,Bachelor,21.4,1.4,41.4,5,66.1,7.76,0,0.525,89,65793.0
E00120,Sales,Master,30.7,0.8,39.2,3,65.5,1.2,2,0.33,35,72295.0
E00121,Marketing,Bachelor,33.7,9.6,38.2,6,59.6,1.26,3,-0.307,82,78384.0
E00122,Engineering,PhD,31.5,5.9,44.8,3,76.4,29.33,2,0.661,42,100489.0
E00123,Sales,Bachelor,27.5,4.6,43.2,2,73.5,5.79,1,-0.015,18,81219.0
E00124,Engineering,PhD,29.8,7.0,45.8,6,46.1,13.13,0,-0.369,14,100250.0
E00125,Sales,Bachelor,36.7,10.2,42.8,2,45.2,0.55,0,0.696,9,81544.0
E00126,Engineering,Master,32.5,7.7,46.9,6,76.4,4.08,3,-0.144,95,102393.0
E00127,Engineering,Bachelor,32.5,4.4,42.6,2,57.8,0.96,1,-0.798,16,80482.0
E00128,Engineering,Master,40.3,11.9,46.7,0,,1.62,0,0.6,83,108872.0
E00129,Sales,Master,41.3,13.3,47.2,4,81.7,11.7,2,-0.064,78,111139.0
E00130,Engineering,PhD,36.7,9.0,37.2,1,50.9,3.83,2,0.489,43,111097.0
E00131,Finance,Master,42.6,10.9,31.2,4,48.8,43.33,0,-0.454,91,90268.0
E00132,Sales,Bachelor,35.8,12.0,51.3,1,95.1,0.73,0,-1.209,90,101138.0
E00133,Engineering,Bachelor,38.4,11.5,43.5,4,75.3,4.21,0,1.735,92,97112.0
E00134,Sales,Bachelor,39.9,9.5,31.7,8,63.7,2.49,0,1.547,49,80270.0
E00135,Engineering,Bachelor,40.2,9.4,37.7,1,56.0,2.23,2,0.884,29,88241.0
E00136,Finance,Master,31.8,9.1,46.6,4,62.3,1.96,0,-0.388,4,96023.0
E00137,Sales,Master,28.7,2.6,40.3,3,52.1,7.32,2,-0.3,84,66779.0
E00138,HR,Master,40.9,9.8,38.9,4,83.3,1.99,0,1.382,87,91940.0
E00139,Engineering,Master,30.1,1.6,50.4,4,58.3,8.38,3,-0.354,53,74891.0
E00140,Sales,Master,31.4,3.8,35.7,3,86.4,3.99,2,-0.633,7,75095.0
E00141,Sales,Master,38.6,12.2,37.2,2,64.0,7.82,1,1.872,82,104227.0
E00142,Finance,Bachelor,36.2,10.4,43.3,3,54.3,1.65,1,-0.048,29,93399.0
E00143,Sales,Bachelor,40.8,12.9,44.3,5,63.6,19.31,0,1.768,54,95944.0
E00144,Sales,Master,32.2,5.9,45.0,7,30.6,12.84,0,-1.398,65,72569.0
E00145,Engineering,Master,29.3,2.4,47.5,1,68.2,6.55,2,0.518,14,81566.0
E00146,Engineering,Bachelor,33.3,6.0,43.2,3,67.4,13.99,0,2.071,6,73042.0
E00147,Sales,Bachelor,32.4,7.4,44.9,1,,6.07,2,0.03,7,85983.0
E00148,Sales,Master,35.9,7.3,40.4,3,41.7,0.5,1,-0.264,95,96347.0
E00149,Engineering,,47.3,11.5,42.4,4,87.4,5.76,0,-1.168,95,105155.0
E00150,HR,Bachelor,27.2,5.6,42.6,8,82.3,3.98,2,1.082,42,72757.0
E00151,Finance,Master,36.4,8.4,43.3,2,88.8,3.73,2,-0.77,42,101819.0
E00152,Engineering,Master,27.8,3.0,46.6,2,69.2,9.8,2,-0.095,40,90275.0
E00153,Sales,Bachelor,37.5,8.8,45.3,3,85.2,1.3,0,-1.235,35,93341.0
E00154,Engineering,Master,34.2,7.0,42.3,5,47.9,20.84,2,1.557,54,78645.0
E00155,Marketing,Bachelor,33.3,4.0,37.1,4,80.7,9.67,3,1.155,35,72793.0
E00156,Engineering,Master,36.6,6.1,42.4,5,58.4,5.39,1,-0.032,61,101849.0
E00157,Marketing,Bachelor,33.8,6.3,41.8,1,45.2,3.27,3,-1.154,37,71462.0
E00158,Marketing,Master,36.3,5.9,43.2,5,53.1,17.97,2,1.536,62,71453.0
E00159,HR,Bachelor,34.1,14.1,55.2,2,,2.81,1,-0.366,94,99003.0
E00160,Engineering,Bachelor,38.4,6.6,38.9,1,57.6,33.81,3,-1.105,20,76145.0
E00161,Finance,Master,34.1,6.0,44.5,1,75.6,7.26,3,-1.762,6,93352.0
E00162,Engineering,Bachelor,30.2,0.0,48.4,8,42.9,22.46,0,-0.646,52,52940.0
E00163,Engineering,Bachelor,26.8,3.4,42.6,2,38.1,2.59,3,-1.455,11,67849.0
E00164,Sales,Bachelor,30.5,5.9,56.0,3,90.6,23.37,0,-0.623,23,76390.0
E00165,Sales,Master,31.7,4.3,39.7,5,83.6,14.89,0,0.744,78,78778.0
E00166,HR,Master,39.5,12.5,43.9,4,54.3,1.27,0,-0.375,41,104082.0
E00167,HR,PhD,34.2,6.3,37.2,2,70.0,13.53,1,0.356,54,91295.0
E00168,Engineering,Bachelor,42.4,12.2,39.9,1,85.3,8.43,3,-0.723,77,104419.0
E00169,Finance,Bachelor,29.0,7.2,43.5,4,76.3,0.5,2,0.065,12,77536.0
E00170,Engineering,Bachelor,37.1,7.1,47.1,5,72.2,20.58,2,1.921,47,78574.0
E00171,Sales,Master,33.7,6.6,43.9,4,86.4,1.63,0,-0.348,3,83614.0
E00172,Engineering,PhD,33.4,7.0,49.6,2,59.0,0.5,2,0.384,49,102768.0
E00173,Finance,Master,36.5,13.9,41.4,4,70.5,0.57,1,-1.566,22,115919.0
E00174,Engineering,Master,28.5,0.0,40.0,7,69.7,1.07,1,1.52,91,69631.0
E00175,Engineering,Bachelor,21.0,0.0,58.2,5,65.9,,1,-0.477,26,71330.0
E00176,Sales,PhD,33.8,4.8,44.4,3,64.2,7.47,0,1.051,20,84898.0
E00177,Finance,Bachelor,29.6,7.1,37.7,2,71.1,7.4,3,-0.123,1,80169.0
E00178,Finance,Bachelor,36.9,9.8,37.8,4,70.5,0.5,2,0.612,13,84464.0
E00179,Marketing,Bachelor,35.5,8.9,36.3,6,54.3,5.39,1,0.671,21,83978.0
E00180,Finance,Bachelor,36.0,5.5,47.6,3,82.0,11.35,0,-0.452,22,89476.0
E00181,Finance,Bachelor,37.5,11.1,39.8,4,55.4,4.19,3,1.092,73,81473.0
E00182,Sales,Bachelor,36.0,11.1,42.8,5,66.7,2.03,1,-0.759,88,89537.0
E00183,Engineering,Bachelor,33.2,7.7,41.6,5,65.6,,1,0.778,85,94473.0
E00184,HR,Master,41.7,10.9,46.4,3,75.4,10.17,2,-0.39,95,89330.0
E00185,Marketing,Bachelor,36.7,8.1,36.9,3,38.2,0.66,0,0.35,89,75277.0
E00186,Sales,Bachelor,30.6,4.8,35.5,3,83.4,1.09,2,-0.462,45,81161.0
E00187,Engineering,PhD,36.1,9.8,43.3,5,59.8,1.49,3,0.05,38,111684.0
E00188,Marketing,Master,29.7,7.4,45.6,3,88.3,0.82,1,-1.075,64,93642.0
E00189,Engineering,Bachelor,35.2,7.0,44.0,5,62.8,9.25,0,0.248,31,93929.0
E00190,Finance,Bachelor,34.6,12.9,37.1,3,69.3,0.5,0,0.044,60,109313.0
E00191,Engineering,Master,29.3,0.0,46.1,5,98.7,4.22,0,-0.54,99,79367.0
E00192,Engineering,Bachelor,28.7,1.3,37.5,6,65.8,5.54,2,-0.055,19,65052.0
E00193,HR,Bachelor,36.4,2.3,38.9,11,88.6,,1,0.134,76,59751.0
E00194,Engineering,PhD,29.2,5.5,36.3,3,70.6,1.37,0,-0.616,93,105282.0
E00195,Engineering,Bachelor,32.7,6.0,49.8,6,76.2,8.87,2,-0.129,53,78340.0
E00196,Sales,Master,33.4,1.0,45.8,3,71.0,22.29,0,-1.006,35,66606.0
E00197,Finance,Master,33.6,3.1,45.6,8,82.7,12.44,1,2.346,25,79983.0
E00198,Engineering,Master,28.5,3.6,49.5,8,59.7,28.7,3,1.059,16,78795.0
E00199,Engineering,Bachelor,44.5,16.8,58.9,4,55.2,25.99,0,0.273,32,116064.0
E00200,HR,Bachelor,41.2,14.2,31.7,1,60.4,0.88,0,1.172,74,108390.0
E00201,Finance,Bachelor,33.2,5.4,37.6,3,71.5,4.33,1,-1.979,51,75396.0
E00202,Sales,Bachelor,30.4,5.5,38.3,4,66.7,18.21,2,-2.558,22,71241.0
E00203,Engineering,Master,29.1,2.4,36.9,4,80.7,0.5,0,-0.399,54,87930.0
E00204,Engineering,Bachelor,22.2,0.0,35.5,4,89.6,2.18,3,-1.379,80,70591.0
E00205,Engineering,Master,33.9,6.5,40.2,5,55.4,2.05,0,-0.237,1,96941.0
E00206,Engineering,Master,31.4,3.0,34.7,6,59.0,0.6,3,0.206,2,80199.0
E00207,Marketing,Master,33.0,6.7,44.0,8,48.5,10.67,2,0.92,95,77186.0
E00208,Engineering,Bachelor,22.8,0.6,42.3,3,100.0,10.38,0,-1.138,74,64999.0
E00209,Sales,Bachelor,33.9,4.0,44.9,4,74.6,12.69,0,0.4,57,62191.0
E00210,Marketing,PhD,35.7,7.6,45.0,4,77.2,5.17,0,0.014,90,89423.0
E00211,Sales,Master,33.3,8.5,45.6,8,49.9,4.89,1,0.348,58,88458.0
E00212,Engineering,Master,34.8,8.7,39.8,2,70.0,22.32,1,-0.52,52,93428.0
E00213,HR,PhD,24.2,1.7,54.7,6,77.6,0.65,2,1.383,21,84185.0
E00214,Marketing,Master,34.3,10.4,43.4,3,66.2,6.79,1,-0.104,81,95043.0
E00215,Marketing,Bachelor,29.2,3.8,30.8,2,86.1,6.13,2,1.774,76,69470.0
E00216,Engineering,Master,40.2,9.5,36.0,5,100.0,24.83,1,-0.79,29,106281.0
E00217,Engineering,Bachelor,32.0,7.0,31.6,3,55.8,22.67,1,0.743,73,86324.0
E00218,Finance,Master,30.4,1.5,42.1,8,54.7,2.88,1,-0.06,72,63427.0
E00219,Sales,PhD,31.1,5.7,41.3,2,56.8,26.9,1,-0.328,9,84634.0
E00220,Engineering,Bachelor,36.2,8.5,39.2,4,94.1,5.44,3,0.632,16,103542.0
E00221,Sales,Bachelor,36.0,9.5,54.1,5,85.6,10.42,0,-0.299,59,92428.0
E00222,Marketing,Bachelor,36.1,6.4,45.3,2,68.0,21.36,1,-2.662,62,73412.0
E00223,Finance,PhD,38.5,13.1,46.4,5,70.5,7.57,3,-3.063,65,121851.0
E00224,Engineering,Bachelor,33.3,11.0,36.4,2,57.8,8.64,2,1.272,37,96779.0
E00225,Finance,Bachelor,28.8,6.0,36.0,2,83.4,24.76,0,1.23,83,82867.0
E00226,Engineering,Bachelor,35.4,10.0,42.2,3,64.3,5.99,3,1.887,44,90993.0
E00227,Sales,Bachelor,38.0,14.7,43.0,5,66.1,13.0,0,-0.018,20,113029.0
E00228,Marketing,Bachelor,43.1,14.8,30.9,3,79.1,15.49,0,-1.293,11,101379.0
E00229,Engineering,Bachelor,27.7,2.1,40.9,5,67.2,1.71,1,-0.42,87,78257.0
E00230,Engineering,Bachelor,37.4,3.3,42.1,2,66.5,2.15,2,0.011,70,73215.0
E00231,Sales,Bachelor,34.7,12.9,40.7,4,70.2,5.16,0,-1.007,46,101982.0
E00232,Finance,Bachelor,30.4,2.8,37.1,4,81.9,9.19,3,1.649,20,74008.0
E00233,Sales,Bachelor,25.3,1.7,38.8,2,94.7,13.62,0,2.24,9,73880.0
E00234,Finance,Bachelor,30.6,5.1,40.9,4,78.8,0.5,3,0.478,15,72669.0
E00235,HR,Master,36.1,8.7,42.5,1,82.0,14.79,0,-0.011,10,96670.0
E00236,Sales,Bachelor,26.6,6.6,45.6,4,67.0,14.02,1,-1.295,52,86072.0
E00237,HR,Bachelor,32.1,4.4,48.5,3,59.4,11.0,2,1.546,19,62625.0
E00238,Engineering,Bachelor,37.0,4.3,40.2,14,79.8,1.88,1,0.076,12,80896.0
E00239,Engineering,Bachelor,29.8,4.2,39.3,10,72.6,17.21,2,-0.289,28,75807.0
E00240,HR,Bachelor,31.3,3.5,44.6,5,48.7,0.5,2,0.481,69,56575.0
E00241,HR,Bachelor,46.2,16.1,45.7,3,65.1,0.5,2,-0.586,49,111432.0
E00242,Engineering,Master,34.7,8.2,39.4,4,68.8,2.95,1,0.147,15,93376.0
E00243,Sales,Bachelor,35.8,10.5,46.7,3,62.3,0.95,3,-1.442,74,83626.0
E00244,Marketing,Bachelor,25.2,5.0,47.9,3,92.2,0.5,2,1.087,48,84251.0
E00245,Finance,Bachelor,35.2,6.3,49.8,4,77.2,7.93,1,-0.104,18,83442.0
E00246,Marketing,Bachelor,30.8,4.1,52.7,1,90.6,16.02,2,1.159,69,83518.0
E00247,Sales,Bachelor,24.0,0.0,36.8,10,74.0,14.96,3,-0.201,99,55236.0
E00248,Sales,Master,28.9,1.5,42.1,4,71.2,9.72,3,-0.136,54,70198.0
E00249,Sales,Master,25.2,0.0,42.1,6,56.0,1.73,2,-1.212,16,57684.0
E00250,Marketing,Bachelor,25.4,0.0,41.4,3,70.2,1.5,3,0.76,30,55261.0
E00251,Finance,Bachelor,31.0,2.2,38.1,1,70.2,27.03,3,-0.876,59,56778.0
E00252,Sales,Bachelor,35.3,12.3,33.1,6,49.5,1.28,1,-0.486,99,94158.0
E00253,Engineering,Bachelor,37.0,6.8,42.6,2,61.9,41.44,2,0.001,92,85925.0
E00254,Engineering,Master,35.0,12.2,37.4,1,65.2,21.93,0,0.121,93,109919.0
E00255,Marketing,Bachelor,33.7,8.6,42.5,6,76.2,5.06,1,-1.706,83,81759.0
E00256,HR,Bachelor,42.9,10.1,37.2,2,76.9,5.06,3,-0.231,57,82173.0
E00257,Engineering,PhD,33.8,3.4,35.4,6,61.3,2.09,1,0.795,64,94827.0
E00258,Engineering,Bachelor,36.4,9.1,43.4,2,77.0,5.41,3,-0.378,73,89509.0
E00259,Sales,Bachelor,34.1,9.9,42.9,5,67.3,0.88,1,-0.225,71,90104.0
E00260,Engineering,Master,30.1,4.7,45.5,4,27.0,5.62,0,0.162,63,87130.0
E00261,HR,Bachelor,36.5,9.2,55.1,2,62.7,17.23,0,-0.126,13,87672.0
E00262,Engineering,Bachelor,36.4,9.3,43.7,8,86.2,5.19,2,-1.031,87,90668.0
E00263,Engineering,Bachelor,31.5,4.8,44.9,3,44.8,1.22,1,-0.036,0,70875.0
E00264,Finance,PhD,29.4,2.5,35.5,4,71.7,,2,0.994,42,87058.0
E00265,Engineering,Bachelor,28.6,2.3,34.3,3,93.8,10.32,0,-1.051,43,77336.0
E00266,Engineering,Bachelor,30.0,7.3,51.5,5,58.6,2.61,1,-0.374,99,78158.0
E00267,Engineering,Bachelor,33.8,8.3,36.5,4,70.0,4.84,0,-1.382,8,93020.0
E00268,Engineering,Bachelor,33.6,3.8,35.7,3,50.4,2.17,1,0.941,47,71816.0
E00269,Engineering,Master,30.0,7.1,41.8,2,94.4,3.84,3,-0.092,35,110914.0
E00270,Engineering,Bachelor,35.7,9.3,41.5,5,,1.53,0,-0.85,9,92624.0
E00271,Engineering,Master,34.0,9.5,36.6,6,70.7,21.68,2,0.092,22,108828.0
E00272,Engineering,Master,40.5,13.2,40.2,5,90.3,7.35,0,-1.204,42,113507.0
E00273,Sales,Master,37.9,12.1,49.4,3,79.9,5.01,2,-1.033,91,100586.0
E00274,Marketing,Bachelor,34.4,3.0,37.2,8,56.9,31.21,3,-1.46,38,64408.0
E00275,Sales,Master,42.3,13.7,33.6,5,60.3,16.45,1,-1.067,88,111441.0
E00276,Engineering,Master,27.9,4.9,47.7,5,77.4,0.97,0,1.357,73,85173.0
E00277,Sales,Bachelor,40.2,11.2,45.0,4,60.6,13.45,2,-0.733,81,90054.0
E00278,Finance,Master,31.9,7.3,38.3,4,38.2,9.08,1,0.466,85,74923.0
E00279,Finance,Master,30.6,5.4,32.5,4,69.2,14.2,3,-0.836,71,82519.0
E00280,Engineering,Bachelor,27.9,0.0,37.5,1,47.8,3.32,3,0.76,73,63134.0
E00281,Engineering,PhD,31.8,6.3,41.7,3,94.2,5.06,2,-1.026,15,106590.0
E00282,Engineering,Bachelor,30.4,0.8,49.0,2,72.7,13.72,2,0.039,71,66358.0
E00283,Engineering,Master,35.5,10.9,35.8,6,56.4,12.24,2,0.053,4,98238.0
E00284,Sales,PhD,38.2,13.1,41.5,5,59.5,6.65,2,2.328,73,110453.0
